subject_type,subject_name,predicate,object_type,object_name,reason,evidence,confidence,source,subject_wikidata,object_wikidata
person,Heinrich Peter,founded,company,Peters Pneu Renova,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107603132,http://www.wikidata.org/entity/Q2079529
person,Christian Engelmann,founded,company,Peters Pneu Renova,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107603344,http://www.wikidata.org/entity/Q2079529
person,Emil Pauly,founded,company,Peters Pneu Renova,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107603438,http://www.wikidata.org/entity/Q2079529
person,Edmond Gentil,founded,company,Société Gentil et Cie.,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107611180,http://www.wikidata.org/entity/Q107262635
person,Edmond Gentil,founded,company,Alcyon,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107611180,http://www.wikidata.org/entity/Q787527
person,Edmond Gentil,founded,company,Alcyon,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107611180,http://www.wikidata.org/entity/Q787527
person,Ludwig Jacob Pokorny,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107611721,http://www.wikidata.org/entity/Q59182422
person,Ludwig Jacob Pokorny,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107611721,http://www.wikidata.org/entity/Q59182422
person,Ludwig Jacob Pokorny,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107611721,http://www.wikidata.org/entity/Q59182422
person,Ludwig Jacob Pokorny,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107611721,http://www.wikidata.org/entity/Q59182422
person,Ludwig Jacob Pokorny,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107611721,http://www.wikidata.org/entity/Q59182422
person,Ludwig Jacob Pokorny,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107611721,http://www.wikidata.org/entity/Q59182422
person,Ludwig Jacob Pokorny,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107611721,http://www.wikidata.org/entity/Q59182422
person,Ludwig Jacob Pokorny,founded,company,Frankfurter Maschinenbau,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107611721,http://www.wikidata.org/entity/Q59182422
person,Salomon Oppenheim,founded,company,Sal. Oppenheim,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107614,http://www.wikidata.org/entity/Q676520
person,Salomon Oppenheim,founded,company,Sal. Oppenheim,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107614,http://www.wikidata.org/entity/Q676520
person,Georg Philipp Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619466,http://www.wikidata.org/entity/Q1345305
person,Georg Philipp Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619466,http://www.wikidata.org/entity/Q1345305
person,Georg Philipp Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619466,http://www.wikidata.org/entity/Q1345305
person,Georg Philipp Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619466,http://www.wikidata.org/entity/Q1345305
person,Georg Philipp Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619466,http://www.wikidata.org/entity/Q1345305
person,Georg Philipp Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619466,http://www.wikidata.org/entity/Q1345305
person,Georg Philipp Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619466,http://www.wikidata.org/entity/Q1345305
person,Georg Philipp Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619466,http://www.wikidata.org/entity/Q1345305
person,Louis Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619489,http://www.wikidata.org/entity/Q1345305
person,Louis Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619489,http://www.wikidata.org/entity/Q1345305
person,Louis Roeder,founded,company,Gebrüder Roeder,Wikidata statement,Wikidata statement,0.95,wikidata,http://www.wikidata.org/entity/Q107619489,http://www.wikidata.org/entity/Q1345305
